id	name	email	specilization	borough	address	zip
2be5f8632364ac9f9dcd3b6ade02918a	Inna Bukharovich	inna_bukharovich_11411@gmail.com	general practitioner	Jackson Heights	136-30 Maple Ave/ #1A	11411
8aeac5866c3f3735c7e01a7563b195f8	Mun Hong	mun_hong_11375@gmail.com	pulmonologist	Brooklyn	"42-31 Colden Street, #109"	11375
d3e46cd8984787be31afecbb1faf1554	Donald McCord	donald_mccord_11206@gmail.com	infectiologist	Flushing	8684 15th Avenue	11206
e7d2a853567875430f55018e00c37948	Ajay Shah	ajay_shah_10022@gmail.com	cardiologist	Flushing	33 W. 125th St	10022
d39e5bdc759350eab00372b945198611	Yeoman Chan	yeoman_chan_11203@gmail.com	nephrologist	New York	1718 Pitkin Avenue	11203
30adb95891765b0b807c726b4e83bd4f	"Marianne LaBarbera, MD"	"marianne_labarbera,_md_11220@gmail.com"	rheumatologist	Manhattan	706 Banner Ave.	11220
faed9fe8a576cf90a77a6e9e2e8fdda1	Cherry Mar-Chan	cherry_mar-chan_10031@gmail.com	gastroenterologist	New York	1150 Park Avenue	10031
3347582cb6ab72a46c39ab6cc520f4b6	Nicole Arcentales	nicole_arcentales_10454@gmail.com	toxicologists	Queens	4000 SETON AVENUE	10454
4852c65a8a299d16ee168bcb52bc9ac4	Aldo Arpaia	aldo_arpaia_11203@gmail.com	surgeon	Jackson Heights	450 Clarkson Ave	11203
67041f063add7f41b4f017485006d114	Jean Pierre Barakat	jean_pierre_barakat_11355@gmail.com	gastroenterologist	Flushing	22-31 33 Street	11355
3291c386b334af38c92cba1bf9268a9a	Jennifer Becker	jennifer_becker_11412@gmail.com	urologist	Staten Island	219-02 LINDEN BLVD	11412
f489412ab4e7cd876b122e2e230c619f	Alexander Beylinson	alexander_beylinson_10021@gmail.com	general practitioner	Staten Island	15 Wadsworth Ave.	10021
8cd37936aea7522f5eebb11fdfa15297	Alexander Beylinson	alexander_beylinson_11205@gmail.com	urologist	Bronx	-	11205
25f120a0dd474fbd19280ba7d6dcf165	Alex Bruckstein	alex_bruckstein_11373@gmail.com	cardiologist	Bronx	90-10 Elmhurst Avenue	11373
3957d52917937f9e56a8d32e8feee981	Michael Bruno	michael_bruno_11355@gmail.com	allergologists	Cedarhurst	314 West 14th Street	11355
a7bab75cee9b8c898482aace03525ba3	Vincent Calamia	vincent_calamia_10033@gmail.com	psychologist	New York	35 East 35th Street	10033
add2943c0bc339b402dc91626dead2e5	Jaxier Chacon	jaxier_chacon_10065@gmail.com	gynecologist	Flushing	435 fort Washington Avenue	10065
7e96738c59e6c15a5cfc7146a38be155	Sydney Chen	sydney_chen_11238@gmail.com	infectiologist	Jackson Heights	"142 Joralemon Street, Suite 11B"	11238
a7853e7f3b9ae97faaad4a5166b202cd	Anna DiBona	anna_dibona_11692@gmail.com	allergologists	Queens	"133-29 41st Rd, 2D"	11692
dbdfc996261d7e7ed15ddc2766842fe5	Austin Epstein	austin_epstein_11372@gmail.com	urologist	Flushing	70-17 37 Avenue	11372
facdf58ee0e6356b36984b11fbdb9a60	Paul C. Gazzara	paul_c._gazzara_10013@gmail.com	pulmonologist	Manhattan	121 East 60th Street	10013
d105d192ca4b9d45e24cd967937067d8	Claudia Geris	claudia_geris_11224@gmail.com	hematologist	Bronx	833 58th Street	11224
